,Age,DOB,Debuted,From,Height,Name,Weight,link
533,23 years,02-03-1996,2018,—,7 ft0 in/2.13m, Thomas Welsh ,255 lbs/115.7kg,https://www.nba.com/players/thomas/welsh/1629118
534,30 years,11-12-1988,2008,UCLA,6 ft3 in/1.9m, Russell Westbrook ,200 lbs/90.7kg,https://www.nba.com/players/russell/westbrook/201566
535,19 years,02/16/2000,—,University of North Carolina at Cha,6 ft5 in/1.96m, Coby White ,191 lbs/86.6kg,https://www.nba.com/players/coby/white/1629632
536,25 years,07-02-1994,2017,Colorado,6 ft4 in/1.93m, Derrick White ,190 lbs/86.2kg,https://www.nba.com/players/derrick/white/1628401
537,24 years,03-08-1995,2016,Seton Hall,6 ft4 in/1.93m, Isaiah Whitehead ,213 lbs/96.6kg,https://www.nba.com/players/isaiah/whitehead/1627785
538,30 years,06/13/1989,2010,Marshall,7 ft0 in/2.13m, Hassan Whiteside ,265 lbs/120.2kg,https://www.nba.com/players/hassan/whiteside/202355
539,24 years,02/23/1995,2014,Kansas,6 ft8 in/2.03m, Andrew Wiggins ,194 lbs/88.0kg,https://www.nba.com/players/andrew/wiggins/203952
540,21 years,10/17/1997,2018,Texas A&M University,6 ft10 in/2.08m, Robert Williams III ,240 lbs/108.9kg,https://www.nba.com/players/robert/williams_iii/1629057
541,—,—,—,—,#NAME?, Nigel Williams-Goss ,"
              —
          /—",https://www.nba.com/players/nigel/williams-goss/1628430
542,26 years,01/28/1993,2015,Cal-Santa Barbara,6 ft8 in/2.03m, Alan Williams ,265 lbs/120.2kg,https://www.nba.com/players/alan/williams/1626210
543,29 years,02-06-1990,2017,North Carolina State,6 ft5 in/1.96m, C.J. Williams ,226 lbs/102.5kg,https://www.nba.com/players/c.j./williams/203710
544,20 years,11/30/1998,—,University of Tennessee,6 ft7 in/2.01m, Grant Williams ,240 lbs/108.9kg,https://www.nba.com/players/grant/williams/1629684
545,24 years,05/22/1995,2018,Gonzaga University,6 ft9 in/2.06m, Johnathan Williams ,228 lbs/103.4kg,https://www.nba.com/players/johnathan/williams/1629140
546,24 years,12-02-1994,2018,Texas Christian University,6 ft7 in/2.01m, Kenrich Williams ,210 lbs/95.3kg,https://www.nba.com/players/kenrich/williams/1629026
547,32 years,10/27/1986,2005,No College,6 ft1 in/1.85m, Lou Williams ,175 lbs/79.4kg,https://www.nba.com/players/lou/williams/101150
548,33 years,06/19/1986,2005,North Carolina,6 ft9 in/2.06m, Marvin Williams ,237 lbs/107.5kg,https://www.nba.com/players/marvin/williams/101107
549,19 years,07-06-2000,—,Duke University,6 ft7 in/2.01m, Zion Williamson ,285 lbs/129.3kg,https://www.nba.com/players/zion/williamson/1629627
550,24 years,12/30/1994,2016,Indiana,6 ft7 in/2.01m, Troy Williams ,218 lbs/98.9kg,https://www.nba.com/players/troy/williams/1627786
551,23 years,02/19/1996,2017,Michigan,6 ft10 in/2.08m, D.J. Wilson ,231 lbs/104.8kg,https://www.nba.com/players/d.j./wilson/1628391
552,22 years,09/22/1996,—,Belmont University,6 ft8 in/2.03m, Dylan Windler ,196 lbs/88.9kg,https://www.nba.com/players/dylan/windler/1629685
553,23 years,03/26/1996,2015,Duke,6 ft7 in/2.01m, Justise Winslow ,225 lbs/102.1kg,https://www.nba.com/players/justise/winslow/1626159
554,21 years,10/27/1997,—,Hofstra University,6 ft2 in/1.88m, Justin Wright-Foreman ,190 lbs/86.2kg,https://www.nba.com/players/justin/wright-foreman/1629625
555,27 years,04/26/1992,2015,Utah,6 ft5 in/1.96m, Delon Wright ,183 lbs/83.0kg,https://www.nba.com/players/delon/wright/1626153
556,31 years,06/21/1988,2007,Georgia Tech,6 ft8 in/2.03m, Thaddeus Young ,221 lbs/100.2kg,https://www.nba.com/players/thaddeus/young/201152
557,20 years,09/19/1998,2018,University of Oklahoma,6 ft2 in/1.88m, Trae Young ,180 lbs/81.6kg,https://www.nba.com/players/trae/young/1629027
558,26 years,10-05-1992,2013,Indiana,7 ft0 in/2.13m, Cody Zeller ,240 lbs/108.9kg,https://www.nba.com/players/cody/zeller/203469
559,29 years,01/17/1990,2012,North Carolina,7 ft0 in/2.13m, Tyler Zeller ,253 lbs/114.8kg,https://www.nba.com/players/tyler/zeller/203092
560,22 years,01-04-1997,2017,,6 ft11 in/2.11m, Ante Zizic ,254 lbs/115.2kg,https://www.nba.com/players/ante/zizic/1627790
561,22 years,03/18/1997,2016,,7 ft1 in/2.16m, Ivica Zubac ,240 lbs/108.9kg,https://www.nba.com/players/ivica/zubac/1627826
